order_pay_date,pay_order_num,aim_order_num,pay_goods_num,demand_goods_num,peihuo_order_num,peihuo_duration,t0_peihuo_order_num,t0_peihuo_duration,t1_peihuo_order_num,t1_peihuo_duration,t2_peihuo_order_num,t2_peihuo_duration,t3_peihuo_order_num,t3_peihuo_duration,t4_peihuo_order_num,t4_peihuo_duration,t5_peihuo_order_num,t5_peihuo_duration,t6_peihuo_order_num,t6_peihuo_duration,t7_peihuo_order_num,t7_peihuo_duration,ship_order_num,ship_goods_num,aim_order_rate,demand_goods_rate,mean_peihuo_duration,peihuo_order_rate,ship_order_rate,ship_goods_rate
2017-09-23,14406,1388,186177,55993,12589,612934.9075,968,10078.5194444444,3150,99634.0630555556,5025,247666.259166667,2550,170952.001666667,739,65730.0972222222,115,12645.7875,35,4744.10305555556,7,1484.07638888889,12579,149134,0.0963487435790643,0.300751435461953,48.6881330923822,0.873871997778703,0.873177842565598,0.801033425181413
2017-09-24,13076,1394,170407,49455,11506,554693.134166667,946,10067.8219444444,2971,89545.5941666666,4323,219815.969722222,2627,175064.004166667,524,46253.4347222222,87,9988.08361111111,24,3241.6875,4,716.538333333333,11500,136724,0.106607525237076,0.290216951181583,48.2090330407324,0.879932701131845,0.879473845212603,0.802337932127201
2017-09-25,11136,1597,141342,37281,9877,445546.711666667,1193,11807.1561111111,2765,87274.3327777778,3670,184194.756944445,1752,115094.336666667,386,33470.6933333333,89,10389.3663888889,15,2053.60583333333,7,1262.46361111111,9866,114388,0.143408764367816,0.263764486140001,45.1095182410314,0.886943247126437,0.885955459770115,0.809299429751949
2017-09-26,10552,1888,125101,29734,9627,420046.784722222,1433,14839.2547222222,2683,81293.4127777778,3238,159660.940555556,1757,114952.187222222,408,35610.4863888889,71,8219.95805555555,32,4426.90472222222,5,1043.64027777778,9618,103321,0.178923426838514,0.237679954596686,43.6321579642903,0.912338893100834,0.911485974222896,0.825900672256817
2017-09-27,9530,1984,108339,24141,8758,384268.899444445,1453,13745.2561111111,2337,70462.7025,2594,128989.838333333,1943,127576.639722222,283,25415.3725,119,13888.3816666667,27,3654.93277777778,2,535.775833333333,8748,90418,0.208184679958027,0.222828344363526,43.8763301489432,0.918992654774397,0.91794333683106,0.834584037142672
2017-09-28,9063,2130,97061,20726,8336,365437.518611111,1615,12761.3316666667,1809,52464.9422222222,2976,148138.674166667,1286,85425.4616666667,504,45822.6011111111,83,9724.11166666667,12,1677.82388888889,51,9422.57222222222,8326,80083,0.235021516054287,0.213535817681664,43.8384739216784,0.919783736069734,0.918680348670418,0.825079073984402
2017-09-29,9592,2556,89805,19177,8889,387817.054444444,1748,11893.0141666667,2309,66861.1052777778,2403,114685.797777778,1801,122272.042222222,394,34583.6838888889,67,7787.95222222222,36,5055.49694444444,131,24677.9619444444,8871,74630,0.266472060050042,0.21354044875007,43.6288732640842,0.926709758131776,0.924833194328607,0.831022771560604
2017-09-30,9571,2864,92814,17227,8854,416573.263888889,2129,15481.6519444445,2017,59313.5816666667,2414,120862.101944444,1106,77218.9572222222,489,44739.37,192,21585.3608333333,314,43864.3858333333,193,33507.8544444444,8839,77669,0.299237279281162,0.185607774689163,47.0491601410536,0.925086197889458,0.923518963535681,0.836824186006421
2017-10-01,8558,2762,81844,14326,7908,421746.365833333,1663,9309.81833333333,1443,34506.5586111111,1861,90652.6638888889,1321,92250.7575,468,43358.2325,738,88531.5969444444,307,44042.4863888889,107,19094.2516666667,7899,69378,0.322738957700397,0.175040320609941,53.3316092353735,0.924047674690348,0.922996027109138,0.847685841356727
2017-10-02,10134,3119,97834,18001,9341,463901.238055556,2065,15964.2055555556,2208,63263.6605555556,2030,101604.158333333,1196,82283.8702777778,1198,117441.411944444,493,59280.3675,97,14142.0116666667,55,9921.54722222222,9321,81771,0.307775804223406,0.183995339043686,49.6629095445408,0.921748569173081,0.919775014801658,0.835813725289777
2017-10-03,9371,2781,91869,16948,8692,405074.336944444,1923,14403.6188888889,2125,60561.2636111111,1726,85628.3880555556,1866,137739.205833333,844,79484.9788888889,147,17638.2752777778,37,5338.45805555556,24,4280.14833333333,8680,77613,0.296766620424715,0.184480074889244,46.6031220598763,0.927542418098389,0.926261871731939,0.84482251902165
2017-10-04,9246,2832,88792,16458,8519,369227.836944444,1918,14634.9561111111,1640,44038.915,2830,147464.760555556,1789,126350.685,242,23215.3169444444,63,7577.91694444444,14,2031.46,23,3913.82638888889,8507,75242,0.306294613887086,0.185354536444725,43.3416876328729,0.921371403850314,0.920073545316894,0.84739616181638
2017-10-05,8725,2622,82382,15937,8071,301467.0875,1903,14924.4136111111,2489,77849.115,2681,132932.861111111,771,52441.6108333333,163,15049.0344444444,41,4952.40777777778,21,2907.13583333333,2,410.508888888889,8039,69504,0.300515759312321,0.193452453205797,37.3518879321026,0.925042979942693,0.921375358166189,0.843679444538856
2017-10-06,9654,2422,100249,19960,8920,330506.954444445,1796,13267.9411111111,2884,86576.7525,2895,135589.182777778,1146,75074.605,136,12439.9988888889,56,6529.42277777778,6,814.535833333333,1,214.515555555556,8910,85756,0.25088046405635,0.199104230466139,37.0523491529646,0.923969339134038,0.922933499067744,0.855429979351415
2017-10-07,10564,2352,113463,24356,9806,393672.539722222,1759,13986.6813888889,3024,94349.9433333333,3281,157325.976944444,1313,87940.2108333333,348,30234.8336111111,60,7060.49055555556,21,2774.40305555556,0,0,9787,96209,0.222642938280954,0.214660285731913,40.1460880809935,0.928246876183264,0.926448315032185,0.847932806289275
