order_pay_date,pay_order_num,aim_order_num,pay_goods_num,demand_goods_num,peihuo_order_num,peihuo_duration,t0_peihuo_order_num,t0_peihuo_duration,t1_peihuo_order_num,t1_peihuo_duration,t2_peihuo_order_num,t2_peihuo_duration,t3_peihuo_order_num,t3_peihuo_duration,t4_peihuo_order_num,t4_peihuo_duration,t5_peihuo_order_num,t5_peihuo_duration,t6_peihuo_order_num,t6_peihuo_duration,t7_peihuo_order_num,t7_peihuo_duration,ship_order_num,ship_goods_num,aim_order_rate,demand_goods_rate,mean_peihuo_duration,peihuo_order_rate,ship_order_rate,ship_goods_rate,push_goods_num,push_goods_duration,t0_push_goods_num,t0_push_goods_duration,t2_push_goods_num,t2_push_goods_duration,t4_push_goods_num,t4_push_goods_duration,t6_push_goods_num,t6_push_goods_duration,t8_push_goods_num,t8_push_goods_duration,t10_push_goods_num,t10_push_goods_duration,need_send_num,oos_num,real_send_num,send_goods_duration,t0_send_goods_num,t0_send_goods_duration,t12_send_goods_num,t12_send_goods_duration,t24_send_goods_num,t24_send_goods_duration,t36_send_goods_num,t36_send_goods_duration,t48_send_goods_num,t48_send_goods_duration,t60_send_goods_num,t60_send_goods_duration,t72_send_goods_num,t72_send_goods_duration,receipt_num,receipt_goods_duration,t0_receipt_goods_num,t0_receipt_goods_duration,t12_receipt_goods_num,t12_receipt_goods_duration,t24_receipt_goods_num,t24_receipt_goods_duration,t36_receipt_goods_num,t36_receipt_goods_duration,t48_receipt_goods_num,t48_receipt_goods_duration,t60_receipt_goods_num,t60_receipt_goods_duration,t72_receipt_goods_num,t72_receipt_goods_duration,mean_push_duration,mean_send_duration,mean_receipt_duration,oos_rate,need_send_rate,real_send_rate
2017-10-06,9654,2422,100249,19960,8920,330506.954444445,1796,13267.9411111111,2884,86576.7525,2895,135589.182777778,1146,75074.605,136,12439.9988888889,56,6529.42277777778,6,814.535833333333,1,214.515555555556,8910,85756,0.25088046405635,0.199104230466139,37.0523491529646,0.923969339134038,0.922933499067744,0.855429979351415,19101,5965.52777777778,18605,1456.38888888889,93,265.384444444444,68,327.070833333333,50,331.303333333333,64,495.408333333333,197,2645.01555555556,19675,285,19656,345169.411944444,5349,36084.9038888889,10788,179453.558333333,2654,69581.0788888889,758,29915.0319444445,86,3882.13222222222,21,1204.73972222222,0,0,19491,485141.573888889,842,7844.17444444444,10428,185138.429444444,5914,149418.750833333,1508,56077.4108333333,355,15442.8288888889,226,7690.81055555556,218,16513.4561111111,0.312314945698015,17.560511393185,24.6816022531995,0.0149206847809015,0.985079315219099,0.999034307496823
2017-10-07,10564,2352,113463,24356,9806,393672.539722222,1759,13986.6813888889,3024,94349.9433333333,3281,157325.976944444,1313,87940.2108333333,348,30234.8336111111,60,7060.49055555556,21,2774.40305555556,0,0,9787,96209,0.222642938280954,0.214660285731913,40.1460880809935,0.928246876183264,0.926448315032185,0.847932806289275,23259,7590.35916666667,22635,1740.43,65,181.824166666667,93,382.026666666667,68,444.755,95,746.473055555555,263,3324.76833333333,23848,508,23825,414651.3125,7048,48008.1180555556,12439,201400.749444444,2762,72926.6569444444,1436,53904.1305555556,136,6465.30777777778,4,255.956944444444,0,0,23638,606013.770833333,1136,10625.6375,12361,221927.281111111,6563,167229.430833333,2413,86387.7275,632,27990.7611111111,249,14385.9816666667,284,20395.8458333333,0.326340735485905,17.4040424973767,25.4360449457852,0.0218410077819339,0.978158992218066,0.999035558537404
2017-10-08,9164,2014,95955,21694,8506,349920.690555556,1378,11702.2647222222,2892,87890.7138888889,2579,129937.008888889,1412,93538.2983333333,146,13305.6808333333,71,8472.66444444444,1,139.239444444444,27,4934.82,8495,81682,0.219773024879965,0.226085144077953,41.1381014055438,0.928197293758184,0.926996944565692,0.851253191600229,20570,7307.79333333333,19990,1522.78305555555,85,239.573888888889,79,341.663055555556,77,490.085,71,554.708611111111,244,3400.41166666667,21376,318,21351,371068.605833333,6281,44402.1233333333,10965,177049.753333333,2932,77771.9263888889,1108,40830.8572222222,61,2900.63722222222,4,252.315555555556,0,0,21236,552795.786944444,885,8027.665,10719,193662.623611111,6408,167393.344166667,2101,78839.3083333333,750,34219.1394444444,147,8777.00166666667,226,15828.4213888889,0.355264624858208,17.3794485426132,25.8908616432225,0.0154594069032572,0.984540593096743,0.998830464071856
2017-10-09,9168,1973,93705,21967,8487,347827.866388889,1515,13042.4641666667,2256,68913.9838888889,3362,163205.848333333,1088,74063.3466666667,192,17207.7269444444,21,2439.74583333333,2,305.194722222222,51,8649.55583333333,8473,80343,0.215205061082024,0.234427191718692,40.9836062671013,0.925719895287958,0.924192844677138,0.857403553705779,21456,6430.59138888889,20966,1629.53666666667,64,181.259444444444,57,277.358611111111,73,453.628055555556,56,475.863333333333,205,2869.20277777778,21639,328,21603,358982.069166667,6792,46330.1375,11350,182678.360555556,2531,64834.2883333334,868,32506.54,57,2588.96833333333,5,318.94,0,0,21489,576016.750833333,652,5895.45,9950,176354.139444444,7536,196424.450555556,2062,76788.5144444445,893,39950.7411111111,187,10691.3763888889,209,16937.9180555556,0.299710635201757,16.6172322902683,26.6637388711444,0.0152870991797166,0.984712900820283,0.998336337169
2017-10-10,10676,2078,115495,27001,9904,418343.624722222,1106,8382.84027777778,3593,110940.843888889,3376,169307.573611111,1584,105484.969444444,188,16656.3608333333,21,2316.20694444444,34,4866.08444444444,2,388.745277777778,9892,97943,0.194642188085425,0.233785012338196,42.2398651779303,0.927688272761334,0.926564256275759,0.848028053162475,26981,9514.09888888889,26273,2039.11638888889,78,238.878611111111,101,440.120833333333,94,532.3875,75,609.722777777778,332,4534.53861111111,26602,399,26586,449162.718333333,7892,52670.4558333333,14152,230645.043611111,3504,89393.4277777777,941,36047.3061111111,92,4344.36972222222,5,308.491388888889,0,0,26310,711982.333333333,740,6322.46083333333,12028,215254.783333333,9284,238188.675555556,2302,84048.6933333333,1407,62431.8447222222,273,16640.4008333333,276,21318.1269444444,0.352622174451981,16.8947084305023,26.7803480528599,0.0147881842778251,0.985211815722175,0.999398541463048
2017-10-11,10622,1855,120477,29424,9888,414917.874166667,1426,12649.3136111111,3018,100245.615277778,3955,195462.031111111,1255,82449.6461111111,165,15040.6936111111,71,8128.52916666667,2,268.939444444444,1,673.058888888889,9879,102873,0.174637544718509,0.244229188973829,41.9617591187972,0.930898135944267,0.930050837883638,0.85388082372569,29384,9045.34055555555,28605,2274.64333333333,116,305.680833333333,166,694.418888888889,91,579.581388888889,104,914.934444444445,256,3425.23972222222,29056,368,29025,485053.614722222,8666,60158.2175,15760,251903.773611111,3457,90437.1669444445,1038,39157.69,98,4860.50916666667,6,307.644166666667,0,0,28730,763345.320277778,735,6526.86944444444,14144,254661.24,9644,248606.058333333,2486,90440.4022222222,1174,54773.6858333333,205,11803.9805555556,342,25098.9786111111,0.307832172459691,16.7115801799215,26.2995803713274,0.0125238224884291,0.987476177511571,0.998933094713656
2017-12-12,19323,357,209431,158845,17166,1023618.52083333,259,1424.40777777778,1543,57555.1561111111,7838,426744.5,6829,469070.209722222,574,53288.4933333333,88,10308.1947222222,32,4644.19305555556,3,583.366111111111,17120,189152,0.0184753920198727,0.758459826864218,59.6305791001593,0.888371370905139,0.885990788179889,0.903170972778624,150446,817451.530555555,38948,35376.7638888889,30438,77050.7991666667,21868,97213.7144444445,19163,119377.480277778,15238,124159.890833333,24785,282412.035833333,158425,420,150009,1692366.64694444,100282,631311.1175,36694,546539.5075,11180,288700.688333333,1696,61512.5177777778,151,6803.74361111111,6,362.878333333333,0,0,148377,4882462.55388889,4851,39139.8405555556,35010,634068.260277778,64943,1723623.15666667,25542,944627.330555555,9017,405511.074166667,3799,220111.384166667,5215,379150.400277778,5.43352120066705,11.2817674069185,32.5477974914098,0.0027916993472741,0.997208300652726,0.946877071169323
2017-12-13,18182,208,197957,164354,16133,932986.419722222,137,554.339444444444,1732,65239.9275,9687,524622.841944444,3892,274533.123888889,521,48185.5791666667,131,15128.5936111111,29,4144.80361111111,4,577.210555555556,16095,178497,0.011439885601144,0.830251014109125,57.8309316136008,0.887306126938731,0.885216147838522,0.901695822830211,156178,888660.556111112,35443,32045.16,30051,78185.5511111111,28025,125179.487222222,20158,126775.461111111,16196,130334.368888889,26302,304882.500833333,163900,454,155619,1690465.47333333,106546,677086.916666666,38946,572661.923888888,8494,219295.789722222,1498,56100.6786111111,130,6012.12027777778,5,243.074444444444,0,0,154920,4700268.72472221,4155,36343.0788888889,50398,894703.992222222,65767,1701006.95333333,18817,686114.491111111,8897,393145.391944445,2476,145003.859444444,4410,323612.190555555,5.69004953393635,10.8628475528909,30.2036944378399,0.00290693951772977,0.99709306048227,0.94947528981086
2017-12-14,15446,172,163152,139907,13682,771872.245555556,110,471.577777777778,2879,111341.5325,7096,388157.251388889,2829,195263.633055556,609,56346.5880555556,102,12213.2925,53,7449.27694444444,4,629.093333333333,13646,147412,0.0111355690793733,0.857525497695401,56.4151619321412,0.88579567525573,0.883464974750744,0.90352554672943,133660,722986.526388889,33967,29776.0475,26318,67297.6830555556,21699,98154.5505555556,17467,109833.119444444,13746,110648.038611111,20459,233434.326111111,139496,411,133188,1473823.90583333,91001,567588.186111112,30978,457120.306388889,9331,231937.2425,1749,62525.0902777778,127,5546.08861111111,2,121.474444444444,0,0,132554,3625911.76055554,3487,26524.6458333333,58555,1050497.04527778,49542,1217629.7725,11011,409832.3225,6623,305483.526388889,1234,65695.7944444445,2102,160065.046388889,5.40914653889637,11.065740951387,27.2240123776582,0.00307496633248541,0.996925033667515,0.954780065378219
2017-12-15,14618,164,159609,135053,12975,723998.739166667,124,683.392777777778,2680,101523.545833333,5759,302494.361111111,3630,240689.3275,570,54198.4988888889,175,19206.4716666667,35,4914.59944444444,2,288.541944444444,12953,144675,0.0112190450129977,0.846149026683959,55.7995174694926,0.887604323436859,0.886099329593652,0.906433847715354,128053,733362.492499999,34478,29852.8816666667,22834,56896.7019444445,16405,71904.81,14993,93708.0697222222,13392,107110.586388889,25947,294940.839722222,134431,622,127438,1416199.43027778,86876,538155.227777778,30669,458643.806944444,8090,205938.9075,1588,56650.1733333333,208,7886.40805555556,7,467.680555555556,0,0,126883,3451287.52722222,3125,25001.5358333333,57244,1016653.39777778,47686,1174545.76027778,11079,406911.354722223,4184,182625.315277778,1024,55176.2975,2541,183935.231388889,5.72702312714266,11.1128504078672,27.0820911127154,0.00485736374782317,0.995142636252177,0.947980748488072
2017-12-16,15308,137,177031,152648,13544,807602.344166667,110,671.306944444444,2218,83799.8375,6070,322486.022222222,3438,247821.371111111,1540,131929.583333333,124,14680.2869444444,42,5925.47916666667,2,288.456944444444,13532,159815,0.00894956885288738,0.862267060571312,59.628052581709,0.884766135354063,0.883982231512934,0.902751495500788,144325,817602.008333333,37122,32923.8977777778,26518,67073.22,20326,88363.1566666666,17932,110471.915833333,15224,122481.208333333,27196,307087.9975,151661,987,143265,1740497.20777778,95156,601997.605833333,30797,456829.410833333,12661,328761.453333333,4169,150745.6325,476,21087.4486111111,6,364.526111111111,0,0,142660,3937765.23916666,4445,39697.1761111111,61300,1073469.78444444,53870,1342882.77055555,12808,469129.451666667,5925,268928.148888889,1422,83931.7533333333,2890,207284.367777778,5.66500612044575,12.148795642884,27.4858844739934,0.00683873202840811,0.993161267971592,0.944639689834565
2017-12-17,15737,119,176124,156781,13971,836818.4825,95,530.873611111111,2094,79127.2561111111,5088,292525.815555556,6026,397092.404722222,525,48962.6683333333,69,8237.27888888889,74,10342.1852777778,0,0,13957,159160,0.0075617970388257,0.890173968340487,59.8968207358099,0.887780390163309,0.886890766982271,0.903681497127024,148692,823698.287777778,36639,32562.7644444444,27640,70608.3191666667,23358,103086.313333333,21194,131514.7975,16414,131975.173055556,23442,267772.279722222,156303,478,148167,1869267.13027778,93089,600059.824444443,34354,513493.053333334,18409,479564.681944445,1995,72983.8533333333,317,13679.3186111111,3,182.536111111111,0,0,147807,4272236.92388889,3409,29440.8688888889,57408,1024295.01666667,60657,1521634.68277778,13451,495200.584166666,6859,311082.260555555,2911,170908.604444444,3112,236774.6825,5.53962747005742,12.6159477500238,28.8339301186424,0.00321469884055632,0.996785301159444,0.947947256290666
2017-12-18,15128,126,162117,146504,13515,753469.774722222,125,596.278888888889,1325,50581.9180555556,8163,416660.713055555,3260,219692.930555556,364,32773.3305555556,231,26535.1980555555,47,6629.40555555556,0,0,13506,147521,0.00832892649391856,0.90369301183713,55.7506307600609,0.893376520359598,0.892781597038604,0.909966258936447,139562,754593.961388889,35046,30670.5236111111,26464,67458.2477777777,22891,102316.633888889,20567,128693.981388889,14833,119593.349166667,19758,230390.961666667,146052,452,139092,1497823.20222222,96824,609784.425277777,32847,481494.689722222,7837,202352.568611111,1423,52514.6125,157,7146.2325,4,182.3475,0,0,138511,3981519.09777777,2367,18061.1122222222,53364,961479.011388892,58508,1495110.98166667,15292,554538.582777777,3757,166247.968333333,2570,148801.955,2653,205317.058611111,5.40687265436787,10.7685790859447,28.6250761925759,0.00323870394519998,0.9967612960548,0.95234573987347
2017-12-19,13662,109,136681,121195,12119,674193.999722222,92,570.060555555556,2586,93673.7272222222,5698,301783.096944444,2706,178930.253055556,826,73819.3597222222,155,17538.4619444444,55,7734.8075,1,144.232777777778,12113,123686,0.00797833406529059,0.88669968759374,55.6311576633569,0.887058995754648,0.88661982140243,0.904924605468207,115224,666720.376666667,30331,27293.6988888889,20127,52458.7375,17975,81498.6361111111,13120,82714.925,10159,82579.2883333333,23511,277971.234444444,120757,438,114764,1223173.80111111,83742,530263.764722222,21498,321820.016666667,8046,209239.575277778,1250,45384.9977777778,218,9956.32638888889,9,546.404722222222,1,72.9019444444444,114201,3015207.3836111,3951,32947.5372222222,56754,1010490.14972222,35611,897944.598055557,10300,385175.280555555,5332,240332.189166666,1124,68436.9991666667,1129,89197.6644444444,5.78629779096948,10.658166333616,26.2731116344072,0.00380129139762549,0.996198708602374,0.950371407040586
2017-12-20,13331,144,131630,111076,11843,709055.462222222,135,829.890833333333,1946,72148.0191666667,4328,230667.901666667,4073,272232.440555556,1044,94129.9411111111,237,27994.5677777778,79,10908.3483333333,1,144.352777777778,11830,119428,0.0108018903308079,0.843850186127782,59.8712709805136,0.888380466581652,0.887405295926787,0.907300767302287,105564,696622.613611111,15494,14105.6013888889,15649,42277.7930555556,19959,90767.1636111111,19761,124158.863055556,15733,125722,18964,233026.953611111,110661,415,105151,1174430.41277778,72441,452154.161944444,23071,351929.865277778,8231,206675.556666667,1199,45695.2802777778,178,8491.39638888889,30,1649.65583333333,1,72.9011111111111,104779,3055235.83527778,1515,12642.0330555556,40334,726329.361944446,43426,1116607.85944444,10945,418381.640555555,5106,237876.815,1503,87655.96,1950,149825.186666667,6.59905473088469,11.1689894796795,29.0556992827246,0.00393126444621272,0.996068735553787,0.950208293798176
2017-12-21,13382,142,134625,109795,11859,741025.626388889,156,1132.43361111111,1031,37315.1883333333,5122,270045.454722222,3774,265960.3725,1483,131737.2,252,29212.25,40,5478.38083333333,1,144.346388888889,11845,121700,0.0106112688686295,0.815561745589601,62.4863501466303,0.886190405021671,0.885144223583919,0.903992571959146,104477,582828.708333333,28771,25428.7555555556,18678,47866.9877777778,14049,63918.4152777778,13528,85814.945,10696,85585.9927777778,18754,214992.930833333,109226,569,103901,1252019.72472222,64742,411645.608055555,28340,418444.4725,8506,216731.064444444,1999,72465.2516666667,303,14075.4391666667,11,662.978333333333,0,0,103471,3209389.87916666,1248,9924.68916666667,37603,676399.482777779,38981,1014159.74805556,13795,520645.474722222,6252,289936.828055555,2722,156815.091388889,2870,212170.608333333,5.57853602547291,12.0501219884527,30.8889219465324,0.00544617475616643,0.994553825243834,0.951247871385934
2017-12-22,16822,162,200493,163777,14916,956239.881388889,136,782.271944444444,1420,52141.4277777778,4283,232315.103055556,6952,472905.880277778,1740,153793.151944444,318,34913.3977777778,66,9244.24333333333,1,144.405277777778,14907,181244,0.00963024610628938,0.816871411969495,64.1083320856053,0.886695993342052,0.88616097966948,0.903991660556728,153998,956984.824722222,41251,35087.7208333333,23178,58209.9169444444,15104,66095.9869444444,17111,105141.981111111,17341,138683.89,40009,441341.854166667,162667,1110,152866,1858137.12611111,92282,562069.059722223,44883,663643.456388888,12689,323973.909444445,2757,97106.3238888889,240,10704.4497222222,15,906.103055555556,0,0,152597,4622490.16333334,2303,20353.7633333333,56541,987490.849722223,55404,1391319.09638889,20816,752984.883611111,10511,469820.656944445,4187,241784.183611111,2835,197436.864166667,6.21426787829856,12.1553329459207,30.2388376966319,0.00720788581669892,0.992792114183301,0.939748074286733
